epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18316,4.37975,11.4846,3.81665,0,0,0,0,4.27476,9.80891,4.4494,0,0,0
2,6.83258,3.91386,7.56929,3.0592,0,0,0,0,4.39864,12.2117,3.87031,1.12625e-05,1.12625e-05,1.12625e-05
3,9.09706,4.79031,10.8647,4.40089,0,0,0,0,4.415,11.5347,4.01783,2.005e-05,2.005e-05,2.005e-05
4,11.3246,4.14032,10.2478,4.07736,0,0,0,0,4.47794,11.3554,4.1785,2.63625e-05,2.63625e-05,2.63625e-05
5,13.9512,4.22503,9.24282,3.58475,0.00079,0.25,0.00199,0.0002,4.35655,11.4707,4.04138,3.02e-05,3.02e-05,3.02e-05
6,16.2107,3.30763,8.24594,2.9363,0,0,0,0,4.28589,11.0731,4.01449,3.15625e-05,3.15625e-05,3.15625e-05
7,18.5044,4.34558,12.1628,3.78251,0.0009,0.25,0.00361,0.00036,4.19768,11.1274,3.99492,3.045e-05,3.045e-05,3.045e-05
8,20.7823,3.31958,8.29204,2.5012,0.0009,0.25,0.00256,0.00026,4.21509,10.2818,3.98505,2.68625e-05,2.68625e-05,2.68625e-05
9,23.0855,2.81415,6.91301,2.54259,0.0009,0.25,0.00218,0.00022,4.15428,10.1603,3.97462,2.08e-05,2.08e-05,2.08e-05
10,25.3327,3.68358,8.68076,3.54119,0,0,0,0,4.11896,9.75577,3.97791,1.22625e-05,1.22625e-05,1.22625e-05
