epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57121,3.56303,8.70703,3.13302,0,0,0,0,4.45555,10.9465,4.3542,0,0,0
2,4.49925,3.98199,9.70953,3.80285,0,0,0,0,4.59802,11.1481,3.99278,1.12625e-05,1.12625e-05,1.12625e-05
3,6.08752,5.19752,11.7667,4.89832,0,0,0,0,4.6694,11.7497,4.13614,2.005e-05,2.005e-05,2.005e-05
4,7.52926,5.1072,12.8542,4.90439,0,0,0,0,4.81336,11.8088,4.27264,2.63625e-05,2.63625e-05,2.63625e-05
5,8.97041,3.62938,8.10343,3.11265,0,0,0,0,4.57965,12.2751,4.24351,3.02e-05,3.02e-05,3.02e-05
6,10.4849,2.98258,7.22731,2.77488,0,0,0,0,4.50096,11.2834,4.26262,3.15625e-05,3.15625e-05,3.15625e-05
7,12.0817,3.59044,8.15545,2.8632,0,0,0,0,4.39878,10.5222,4.13752,3.045e-05,3.045e-05,3.045e-05
8,13.6902,3.8232,7.80477,3.30381,0,0,0,0,4.28087,10.3108,3.96587,2.68625e-05,2.68625e-05,2.68625e-05
9,15.2218,1.92255,7.03204,2.72021,0,0,0,0,4.25916,10.2528,3.99534,2.08e-05,2.08e-05,2.08e-05
10,16.7756,4.52259,10.7468,4.18069,0,0,0,0,4.23597,10.1202,3.98619,1.22625e-05,1.22625e-05,1.22625e-05
