epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29951,4.70988,19.2325,4.50209,0,0,0,0,4.26621,11.8315,3.49958,0,0,0
2,10.7503,3.17561,10.5578,2.46463,0,0,0,0,4.26146,13.2208,3.40151,1.50197e-05,1.50197e-05,1.50197e-05
3,18.7161,3.90598,9.67021,3.37757,0,0,0,0,4.21094,15.1231,3.38757,2.67387e-05,2.67387e-05,2.67387e-05
4,24.087,4.91928,18.2922,4.06516,0,0,0,0,4.13541,15.5725,3.45158,3.5157e-05,3.5157e-05,3.5157e-05
5,29.6036,3.12296,8.66833,2.3638,0,0,0,0,4.40285,11.8105,3.65267,4.02747e-05,4.02747e-05,4.02747e-05
6,34.2381,3.86213,10.3624,2.68882,0,0,0,0,4.26861,13.3395,3.67234,4.20917e-05,4.20917e-05,4.20917e-05
7,38.6125,4.05875,14.3636,3.8679,0,0,0,0,4.39836,12.4136,3.75125,4.06081e-05,4.06081e-05,4.06081e-05
8,43.707,4.54186,14.257,4.48568,0,0,0,0,4.29253,12.0569,3.7148,3.58238e-05,3.58238e-05,3.58238e-05
9,47.5036,3.04579,10.5745,2.44218,0,0,0,0,4.08657,12.3443,3.63368,2.77389e-05,2.77389e-05,2.77389e-05
10,50.8059,3.48647,9.85747,3.04862,0,0,0,0,3.94392,12.4215,3.5791,1.63533e-05,1.63533e-05,1.63533e-05
